b_intervals,utilities,weights
"(6294533, 6294534)",-2037.9051950537785,2.33683147346203e-111
"(6294534, 6294535)",-2038.9051950537785,2.0622465371924376e-111
"(6294535, 6294536)",-2039.9051950537785,1.8199261814381337e-111
"(6294536, 6294537)",-2040.9051950537785,1.6060792180517636e-111
"(6294537, 6294538)",-2041.9051950537785,1.4173599352361702e-111
"(6294538, 6294539)",-2042.9051950537785,1.250815752693423e-111
"(6294539, 6294540)",-2043.9051950537785,1.1038410274559651e-111
"(6294540, 6319346)",-2044.9051950537785,9.741362876756865e-112
"(6339735, 6339736)",-2045.9051950537785,8.596722565690497e-112
"(6339736, 6339737)",-2046.9051950537785,7.58658103660096e-112
"(6339737, 6339738)",-2047.9051950537785,6.695134266007376e-112
"(6339738, 6339739)",-2048.9051950537782,5.908435252139667e-112
"(6339739, 6339740)",-2049.9051950537782,5.214175809134888e-112
"(6339740, 6339741)",-2050.9051950537782,4.601494001093065e-112
"(6339741, 6339742)",-2051.9051950537782,4.060804203226227e-112
"(6339742, 6339743)",-2052.9051950537782,3.583647131349651e-112
"(6339743, 6339744)",-2053.9051950537782,3.162557493372238e-112
"(6339744, 6339745)",-2054.9051950537782,2.790947192146702e-112
"(6339745, 6339746)",-2055.9051950537782,2.463002252346638e-112
"(6339746, 6339747)",-2056.9051950537782,2.17359185875479e-112
"(6339747, 6339748)",-2057.9051950537782,1.9181880828341958e-112
"(6339748, 6339749)",-2058.9051950537782,1.692795041675861e-112
"(6339749, 6339750)",-2059.9051950537782,1.4938863809895085e-112
"(6339750, 6364557)",-2060.9051950537782,1.318350104036552e-112
"(6384946, 6384947)",-2061.9051950537782,1.1634398833343363e-112
"(6384947, 6384948)",-2062.9051950537782,1.0267320933859348e-112
"(6384948, 6384949)",-2063.9051950537782,9.060878921972849e-113
"(6384949, 6384950)",-2064.9051950537782,7.996197583335089e-113
"(6384950, 6384951)",-2065.9051950537782,7.056619599747642e-113
"(6384951, 6384952)",-2066.9051950537782,6.227444939495041e-113
"(6384952, 6384953)",-2067.9051950537782,5.495700870120487e-113
"(6384953, 6384954)",-2068.9051950537782,4.849938995412796e-113
"(6384954, 6384955)",-2069.9051950537782,4.2800561411760367e-113
"(6384955, 6384956)",-2070.9051950537782,3.7771362874760286e-113
"(6384956, 6384957)",-2071.9051950537782,3.3333110743374726e-113
"(6384957, 6384958)",-2072.9051950537782,2.94163669845375e-113
"(6384958, 6384959)",-2073.9051950537782,2.59598527491461e-113
"(6384959, 6384960)",-2074.9051950537782,2.2909489642673625e-113
"(6384960, 6409768)",-2075.9051950537782,2.021755364945334e-113
"(6430157, 6430158)",-2076.9051950537782,1.7841928473480456e-113
"(6430158, 6430159)",-2077.9051950537782,1.5745446613982403e-113
"(6430159, 6430160)",-2078.9051950537782,1.3895307866650574e-113
"(6430160, 6430161)",-2079.9051950537782,1.2262566152778495e-113
"(6430161, 6430162)",-2080.9051950537782,1.082167664756572e-113
"(6430162, 6430163)",-2081.9051950537782,9.550096122248798e-114
"(6430163, 6430164)",-2082.9051950537782,8.427930247269718e-114
"(6430164, 6430165)",-2083.9051950537782,7.437622338414549e-114
"(6430165, 6430166)",-2084.9051950537782,6.563678676244836e-114
"(6430166, 6430167)",-2085.9051950537782,5.792426101346625e-114
"(6430167, 6430168)",-2086.9051950537782,5.11179809288856e-114
"(6430168, 6430169)",-2087.9051950537782,4.511145983611996e-114
"(6430169, 6430170)",-2088.9051950537782,3.981072357644525e-114
"(6430170, 6430171)",-2089.9051950537782,3.513284024586445e-114
"(6430171, 6454979)",-2090.9051950537782,3.10046226959748e-114
"(6475368, 6475369)",-2091.9051950537782,2.7361483495001805e-114
"(6475369, 6475370)",-2092.9051950537782,2.4146424434458627e-114
"(6475370, 6475371)",-2093.9051950537782,2.1309144771902725e-114
"(6475371, 6475372)",-2094.9051950537782,1.880525425793088e-114
"(6475372, 6475373)",-2095.9051950537782,1.6595578634939776e-114
"(6475373, 6475374)",-2096.9051950537782,1.464554674193344e-114
"(6475374, 6475375)",-2097.9051950537782,1.2924649636414174e-114
"(6475375, 6475376)",-2098.9051950537782,1.1405963271126626e-114
"(6475376, 6475377)",-2099.9051950537782,1.0065727257762908e-114
"(6475377, 6475378)",-2100.9051950537782,8.882973127237099e-115
"(6475378, 6475379)",-2101.9051950537782,7.839196270528938e-115
"(6475379, 6475380)",-2102.9051950537782,6.918066427494499e-115
"(6475380, 6475381)",-2103.9051950537782,6.105172194138373e-115
"(6475381, 6475382)",-2104.9051950537782,5.3877955510727125e-115
"(6475382, 6475383)",-2105.9051950537782,4.754712885580731e-115
"(6475383, 6475384)",-2106.9051950537782,4.19601939420406e-115
"(6475384, 6475385)",-2107.9051950537782,3.702974118569973e-115
"(6475385, 6475386)",-2108.9051950537782,3.2678631899889235e-115
"(6475386, 6475387)",-2109.9051950537782,2.8838791432354404e-115
"(6475387, 6475388)",-2110.9051950537782,2.5450144113335925e-115
"(6475388, 6475389)",-2111.9051950537782,2.245967335035053e-115
"(6475389, 6475390)",-2112.9051950537782,1.9820592164746127e-115
"(6475390, 6475391)",-2113.9051950537782,1.7491611192780956e-115
"(6475391, 6475392)",-2114.9051950537782,1.5436292698843234e-115
"(6475392, 6500190)",-2115.9051950537782,1.3622480494118357e-115
"(6520579, 6520580)",-2116.9051950537782,1.202179684157852e-115
"(6520580, 6520581)",-2117.9051950537782,1.0609198476194315e-115
"(6520581, 6520582)",-2118.9051950537782,9.362584794146693e-116
"(6520582, 6520583)",-2119.9051950537782,8.262452081020089e-116
"(6520583, 6520584)",-2120.9051950537782,7.291588369253873e-116
"(6520584, 6520585)",-2121.9051950537782,6.434804150788403e-116
"(6520585, 6520586)",-2122.9051950537782,5.678694731809264e-116
"(6520586, 6520587)",-2123.9051950537782,5.011430511545135e-116
"(6520587, 6520588)",-2124.9051950537782,4.422571903956516e-116
"(6520588, 6520589)",-2125.9051950537782,3.9029060066992825e-116
"(6520589, 6520590)",-2126.9051950537782,3.4443024619909287e-116
"(6520590, 6520591)",-2127.9051950537782,3.0395862542714906e-116
"(6520591, 6520592)",-2128.9051950537782,2.682425454533303e-116
"(6520592, 6545401)",-2129.9051950537782,2.3672321550397154e-116
"(6565790, 6565791)",-2130.9051950537782,2.0890750445212057e-116
"(6565791, 6565792)",-2131.9051950537782,1.84360225605674e-116
"(6565792, 6565793)",-2132.9051950537782,1.6269732805680447e-116
"(6565793, 6565794)",-2133.9051950537782,1.4357988806891976e-116
"(6565794, 6565795)",-2134.9051950537782,1.267088064942646e-116
"(6565795, 6565796)",-2135.9051950537782,1.1182012926137935e-116
"(6565796, 6565797)",-2136.9051950537782,9.868091771977636e-117
"(6565797, 6565798)",-2137.9051950537782,8.708560423190796e-117
"(6565798, 6565799)",-2138.9051950537782,7.685277599436671e-117
"(6565799, 6565800)",-2139.9051950537782,6.782233677005637e-117
"(6565800, 6565801)",-2140.9051950537782,5.985300212562406e-117
"(6565801, 6565802)",-2141.9051950537782,5.2820088986252434e-117
"(6565802, 6565803)",-2142.9051950537782,4.661356492461048e-117
"(6565803, 6565804)",-2143.9051950537782,4.1136326664394685e-117
"(6565804, 6565805)",-2144.9051950537782,3.630268086503641e-117
"(6565805, 6565806)",-2145.9051950537782,3.2037003418911694e-117
"(6565806, 6565807)",-2146.9051950537782,2.8272556285281663e-117
"(6565807, 6565808)",-2147.9051950537782,2.49504433499097e-117
"(6565808, 6565809)",-2148.9051950537782,2.2018688974407727e-117
"(6565809, 6565810)",-2149.9051950537782,1.9431424818888402e-117
"(6565810, 6590612)",-2150.9051950537782,1.7148172215474445e-117
"(6611001, 6611002)",-2151.9051950537782,1.513320886514342e-117
"(6611002, 6611003)",-2152.9051950537782,1.3355009949654806e-117
"(6611003, 6611004)",-2153.9051950537782,1.1785754914556822e-117
"(6611004, 6611005)",-2154.9051950537782,1.0400892206717567e-117
"(6611005, 6611006)",-2155.9051950537782,9.17875515654451e-118
"(6611006, 6611007)",-2156.9051950537782,8.100222995232913e-118
"(6611007, 6611008)",-2157.9051950537782,7.14842170353756e-118
"(6611008, 6611009)",-2158.9051950537782,6.308460011740393e-118
"(6611009, 6611010)",-2159.9051950537782,5.567196420439678e-118
"(6611010, 6611011)",-2160.9051950537782,4.913033597118063e-118
"(6611011, 6611012)",-2161.9051950537782,4.3357369317507435e-118
"(6611012, 6611013)",-2162.9051950537782,3.8262744126916684e-118
"(6611013, 6611014)",-2163.9051950537782,3.376675317639089e-118
"(6611014, 6611015)",-2164.9051950537782,2.979905508850351e-118
"(6611015, 6635823)",-2165.9051950537782,2.6297573815552073e-118
"(6656212, 6656213)",-2166.9051950537782,2.320752743771446e-118
"(6656213, 6656214)",-2167.9051950537782,2.048057108043003e-118
"(6656214, 6656215)",-2168.9051950537782,1.807404054164314e-118
"(6656215, 6656216)",-2169.9051950537782,1.5950284795188473e-118
"(6656216, 6656217)",-2170.9051950537782,1.4076076927095996e-118
"(6656217, 6656218)",-2171.9051950537782,1.2422094288704705e-118
"(6656218, 6656219)",-2172.9051950537782,1.0962459733395696e-118
"(6656219, 6656220)",-2173.9051950537782,9.674336759430052e-119
"(6656220, 6656221)",-2174.9051950537782,8.537572224757312e-119
"(6656221, 6656222)",-2175.9051950537782,7.534381043940601e-119
"(6656222, 6656223)",-2176.9051950537782,6.64906793416967e-119
"(6656223, 6656224)",-2177.9051950537782,5.867781856979289e-119
"(6656224, 6656225)",-2178.9051950537782,5.178299313826307e-119
"(6656225, 6656226)",-2179.9051950537782,4.569833105107652e-119
"(6656226, 6656227)",-2180.9051950537782,4.032863560586047e-119
"(6656227, 6656228)",-2181.9051950537782,3.5589896007634697e-119
"(6656228, 6656229)",-2182.9051950537782,3.1407972990045476e-119
"(6656229, 6656230)",-2183.9051950537782,2.7717438880175765e-119
"(6656230, 6656231)",-2184.9051950537782,2.446055395933295e-119
"(6656231, 6656232)",-2185.9051950537782,2.1586363104614688e-119
"(6656232, 6656233)",-2186.9051950537782,1.9049898577888856e-119
"(6656233, 6656234)",-2187.9051950537782,1.6811476489537602e-119
"(6656234, 6681034)",-2188.9051950537782,1.483607592989068e-119
"(6701423, 6701424)",-2189.9051950537782,1.3092791054638397e-119
"(6701424, 6701425)",-2190.9051950537782,1.1554347551905684e-119
"(6701425, 6701426)",-2191.9051950537782,1.0196675925942668e-119
"(6701426, 6701427)",-2192.9051950537782,8.998534921303317e-120
"(6701427, 6701428)",-2193.9051950537782,7.941179195849492e-120
"(6701428, 6701429)",-2194.9051950537782,7.008066043206405e-120
"(6701429, 6701430)",-2195.9051950537782,6.1845965762379346e-120
"(6701430, 6701431)",-2196.9051950537782,5.4578873222652704e-120
"(6701431, 6701432)",-2197.9051950537782,4.8165686565548324e-120
"(6701432, 6701433)",-2198.9051950537782,4.250606920495685e-120
"(6701433, 6701434)",-2199.9051950537782,3.751147441442088e-120
"(6701434, 6701435)",-2200.9051950537782,3.310375998210772e-120
"(6701435, 6701436)",-2201.9051950537782,2.921396564811395e-120
"(6701436, 6701437)",-2202.9051950537782,2.5781234196673332e-120
"(6701437, 6701438)",-2203.9051950537782,2.275185932337227e-120
"(6701438, 6701439)",-2204.9051950537782,2.0078445380916473e-120
"(6701439, 6701440)",-2205.9051950537782,1.7719165857372763e-120
"(6701440, 6701441)",-2206.9051950537782,1.5637108985514182e-120
"(6701441, 6701442)",-2207.9051950537782,1.379970024509401e-120
"(6701442, 6726245)",-2208.9051950537782,1.2178192722891345e-120
"(6746634, 6746635)",-2209.9051950537782,1.0747217357029872e-120
"(6746635, 6746636)",-2210.9051950537782,9.484386028982265e-121
"(6746636, 6746637)",-2211.9051950537782,8.369941293493459e-121
"(6746637, 6746638)",-2212.9051950537782,7.38644726632288e-121
"(6746638, 6746639)",-2213.9051950537782,6.518516833634393e-121
"(6746639, 6746640)",-2214.9051950537782,5.752570915127897e-121
"(6746640, 6746641)",-2215.9051950537782,5.0766260144986e-121
"(6746641, 6746642)",-2216.9051950537782,4.480106733375394e-121
"(6746642, 6746643)",-2217.9051950537782,3.953680315452175e-121
"(6746643, 6746644)",-2218.9051950537782,3.4891106321962304e-121
"(6746644, 6746645)",-2219.9051950537782,3.0791293256881525e-121
"(6746645, 6746646)",-2220.9051950537782,2.7173220925771887e-121
"(6746646, 6746647)",-2221.9051950537782,2.39802833002406e-121
"(6746647, 6746648)",-2222.9051950537782,2.1162525735563432e-121
"(6746648, 6746649)",-2223.9051950537782,1.8675863412501516e-121
"(6746649, 6746650)",-2224.9051950537782,1.6481391614625558e-121
"(6746650, 6746651)",-2225.9051950537782,1.4544777050190779e-121
"(6746651, 6746652)",-2226.9051950537782,1.283572069557687e-121
"(6746652, 6746653)",-2227.9051950537782,1.1327483756287577e-121
"(6746653, 6746654)",-2228.9051950537782,9.996469329001106e-122
"(6746654, 6746655)",-2229.9051950537782,8.821853219625384e-122
"(6746655, 6746656)",-2230.9051950537782,7.785258141375341e-122
"(6746656, 6746657)",-2231.9051950537782,6.870466195585244e-122
"(6746657, 6746658)",-2232.9051950537782,6.063165136916145e-122
"(6746658, 6746659)",-2233.9051950537782,5.350724453187403e-122
"(6746659, 6771456)",-2234.9051950537782,4.7219977565215364e-122
"(6791845, 6791846)",-2235.9051950537782,4.167148394141664e-122
"(6791846, 6791847)",-2236.9051950537782,3.6774955504403894e-122
"(6791847, 6791848)",-2237.9051950537782,3.245378432532275e-122
"(6791848, 6791849)",-2238.9051950537782,2.864036414424582e-122
"(6791849, 6791850)",-2239.9051950537782,2.5275032646191846e-122
"(6791850, 6791851)",-2240.9051950537782,2.2305138022988833e-122
"(6791851, 6791852)",-2241.9051950537782,1.9684215217009532e-122
"(6791852, 6791853)",-2242.9051950537782,1.737125895881947e-122
"(6791853, 6791854)",-2243.9051950537782,1.5330082225153086e-122
"(6791854, 6791855)",-2244.9051950537782,1.3528750080064762e-122
"(6791855, 6791856)",-2245.9051950537782,1.193908004149825e-122
"(6791856, 6816667)",-2246.9051950537782,1.0536201156331766e-122
"(6837056, 6837057)",-2247.9051950537782,9.298164885471017e-123
"(6837057, 6837058)",-2248.9051950537782,8.205601711149021e-123
"(6837058, 6837059)",-2249.9051950537782,7.241418093931867e-123
"(6837059, 6837060)",-2250.9051950537782,6.390529038214917e-123
"(6837060, 6837061)",-2251.9051950537782,5.639622082101579e-123
"(6837061, 6837062)",-2252.9051950537782,4.97694901920233e-123
"(6837062, 6837063)",-2253.9051950537782,4.3921420937674964e-123
"(6837063, 6837064)",-2254.9051950537782,3.876051793461235e-123
"(6837064, 6837065)",-2255.9051950537782,3.4206037019870056e-123
"(6837065, 6837066)",-2256.9051950537782,3.0186721719729335e-123
"(6837066, 6837067)",-2257.9051950537782,2.6639688416844264e-123
"(6837067, 6861878)",-2258.9051950537782,2.3509442513683786e-123
"(6882267, 6882268)",-2259.9051950537782,2.0747010199816546e-123
"(6882268, 6882269)",-2260.9051950537782,1.830917223922911e-123
"(6882269, 6882270)",-2261.9051950537782,1.615778779000755e-123
"(6882270, 6882271)",-2262.9051950537782,1.4259197677300859e-123
"(6882271, 6882272)",-2263.9051950537782,1.2583697783559465e-123
"(6882272, 6882273)",-2264.9051950537782,1.1105074317051867e-123
"(6882273, 6882274)",-2265.9051950537782,9.800193687770013e-124
"(6882274, 6882275)",-2266.9051950537782,8.648640574186139e-124
"(6882275, 6907089)",-2267.9051950537782,7.632398518286725e-124
"(6927478, 6927479)",-2268.9051950537782,6.735568051679291e-124
"(6927479, 6927480)",-2269.9051950537782,5.9441179427547315e-124
"(6927480, 6927481)",-2270.9051950537782,5.245665673078568e-124
"(6927481, 6927482)",-2271.9051950537782,4.629283708486173e-124
"(6927482, 6927483)",-2272.9051950537782,4.0853285339243765e-124
"(6927483, 6927484)",-2273.9051950537782,3.6052897772287292e-124
"(6927484, 6927485)",-2274.9051950537782,3.1816570613242593e-124
"(6927485, 6927486)",-2275.9051950537782,2.807802501705065e-124
"(6927486, 6927487)",-2276.9051950537782,2.4778770108239977e-124
"(6927487, 6927488)",-2277.9051950537782,2.186718787037754e-124
"(6927488, 6927489)",-2278.9051950537782,1.9297725563843614e-124
"(6927489, 6927490)",-2279.9051950537782,1.7030183037019556e-124
"(6927490, 6927491)",-2280.9051950537782,1.5029083780618476e-124
"(6927491, 6927492)",-2281.9051950537782,1.3263119885080185e-124
"(6927492, 6927493)",-2282.9051950537782,1.170466221719142e-124
"(6927493, 6927494)",-2283.9051950537782,1.0329328152470371e-124
"(6927494, 6927495)",-2284.9051950537782,9.115600100334964e-125
"(6927495, 6927496)",-2285.9051950537782,8.044488853745431e-125
"(6927496, 6927497)",-2286.9051950537782,7.099236496306646e-125
"(6927497, 6952300)",-2287.9051950537782,6.26505421870613e-125
"(6972689, 6972690)",-2288.9051950537782,5.528890942532713e-125
"(6972690, 6972691)",-2289.9051950537782,4.879229131513143e-125
"(6972691, 6972692)",-2290.9051950537782,4.3059045955608744e-125
"(6972692, 6972693)",-2291.9051950537782,3.7999474684072466e-125
"(6972693, 6972694)",-2292.9051950537782,3.35344187085357e-125
"(6972694, 6972695)",-2293.9051950537782,2.959402064025766e-125
"(6972695, 6972696)",-2294.9051950537782,2.6116631550051973e-125
"(6972696, 6972697)",-2295.9051950537782,2.3047846448863987e-125
"(6972697, 6972698)",-2296.9051950537782,2.0339653102367832e-125
"(6972698, 6972699)",-2297.9051950537782,1.794968086248477e-125
"(6972699, 6972700)",-2298.9051950537782,1.58405377635248e-125
"(6972700, 6972701)",-2299.9051950537782,1.3979225511584949e-125
"(6972701, 6972702)",-2300.9051950537782,1.2336623214505274e-125
"(6972702, 6972703)",-2301.9051950537782,1.0887031775154117e-125
"(6972703, 6972704)",-2302.9051950537782,9.607771819913578e-126
"(6972704, 6972705)",-2303.9051950537782,8.478828871813294e-126
"(6972705, 6972706)",-2304.9051950537782,7.482540216920072e-126
"(6972706, 6972707)",-2305.9051950537782,6.60331856489663e-126
"(6972707, 6972708)",-2306.9051950537782,5.827408180300632e-126
"(6972708, 6972709)",-2307.9051950537782,5.142669669211441e-126
"(6972709, 6972710)",-2308.9051950537782,4.5383900540948424e-126
"(6972710, 6997511)",-2309.9051950537782,4.005115165459432e-126
"(7017900, 7017901)",-2310.9051950537782,3.5345017280125385e-126
"(7017901, 7017902)",-2311.9051950537782,3.1191868271509654e-126
"(7017902, 7017903)",-2312.9051950537782,2.7526727135433986e-126
"(7017903, 7017904)",-2313.9051950537782,2.4292251435311825e-126
"(7017904, 7017905)",-2314.9051950537782,2.1437836648468882e-126
"(7017905, 7017906)",-2315.9051950537782,1.8918824440388308e-126
"(7017906, 7017907)",-2316.9051950537782,1.6695803969184426e-126
"(7017907, 7017908)",-2317.9051950537782,1.473399528896485e-126
"(7017908, 7017909)",-2318.9051950537782,1.3002705205207499e-126
"(7017909, 7017910)",-2319.9051950537782,1.1474847068816213e-126
"(7017910, 7017911)",-2320.9051950537782,1.0126516995862232e-126
"(7017911, 7017912)",-2321.9051950537782,8.936619882818681e-127
"(7017912, 7042722)",-2322.9051950537782,7.886539366163396e-127
"(7063111, 7063112)",-2323.9051950537782,6.9598465627506764e-127
"(7063112, 7063113)",-2324.9051950537782,6.142043034091515e-127
"(7063113, 7063114)",-2325.9051950537782,5.420333953127053e-127
"(7063114, 7063115)",-2326.9051950537782,4.783427924608739e-127
"(7063115, 7063116)",-2327.9051950537782,4.221360327203871e-127
"(7063116, 7063117)",-2328.9051950537782,3.725337413450911e-127
"(7063117, 7063118)",-2329.9051950537782,3.2875987284529374e-127
"(7063118, 7063119)",-2330.9051950537782,2.9012956948007713e-127
"(7063119, 7063120)",-2331.9051950537782,2.5603844641437025e-127
"(7063120, 7063121)",-2332.9051950537782,2.2595313590325363e-127
"(7063121, 7063122)",-2333.9051950537782,1.9940294256389748e-127
"(7063122, 7063123)",-2334.9051950537782,1.7597247917889351e-127
"(7063123, 7063124)",-2335.9051950537782,1.5529516781550571e-127
"(7063124, 7063125)",-2336.9051950537782,1.3704750458353875e-127
"(7063125, 7087933)",-2337.9051950537782,1.2094399830192109e-127
"(7108322, 7108323)",-2338.9051950537782,1.0673270388764193e-127
"(7108323, 7108324)",-2339.9051950537782,9.41912805853228e-128
"(7108324, 7108325)",-2340.9051950537782,8.312351336702392e-128
"(7108325, 7108326)",-2341.9051950537782,7.335624307834781e-128
"(7108326, 7108327)",-2342.9051950537782,6.473665730188461e-128
"(7108327, 7108328)",-2343.9051950537782,5.71298995525936e-128
"(7108328, 7108329)",-2344.9051950537782,5.041695940013292e-128
"(7108329, 7108330)",-2345.9051950537782,4.44928105083506e-128
"(7108330, 7108331)",-2346.9051950537782,3.926476746090274e-128
"(7108331, 7108332)",-2347.9051950537782,3.465103566495108e-128
"(7108332, 7108333)",-2348.9051950537782,3.057943164566767e-128
"(7108333, 7108334)",-2349.9051950537782,2.6986253710099077e-128
"(7108334, 7108335)",-2350.9051950537782,2.381528531152448e-128
"(7108335, 7108336)",-2351.9051950537782,2.1016915521588767e-128
"(7108336, 7108337)",-2352.9051950537782,1.8547362849684193e-128
"(7108337, 7108338)",-2353.9051950537782,1.6367990265958896e-128
"(7108338, 7133144)",-2354.9051950537782,1.4444700711243533e-128
"(7153533, 7153534)",-2355.9051950537782,1.274740363643392e-128
"(7153534, 7153535)",-2356.9051950537782,1.1249544225148544e-128
"(7153535, 7153536)",-2357.9051950537782,9.927687934182011e-129
"(7153536, 7153537)",-2358.9051950537782,8.761153851742086e-129
"(7153537, 7153538)",-2359.9051950537782,7.731691137229488e-129
"(7153538, 7153539)",-2360.9051950537782,6.82319348034579e-129
"(7153539, 7153540)",-2361.9051950537782,6.021447112140567e-129
"(7153540, 7153541)",-2362.9051950537782,5.313908425541006e-129
"(7153541, 7153542)",-2363.9051950537782,4.689507726158122e-129
"(7153542, 7153543)",-2364.9051950537782,4.138476042981072e-129
"(7153543, 7153544)",-2365.9051950537782,3.652192289351349e-129
"(7153544, 7153545)",-2366.9051950537782,3.223048382995908e-129
"(7153545, 7153546)",-2367.9051950537782,2.8443302148741774e-129
"(7153546, 7178355)",-2368.9051950537782,2.510112604554238e-129
"(7198744, 7198745)",-2369.9051950537782,2.215166598657667e-129
"(7198745, 7198746)",-2370.9051950537782,1.9548776620242443e-129
"(7198746, 7198747)",-2371.9051950537782,1.725173481668211e-129
"(7198747, 7198748)",-2372.9051950537782,1.5224602539932783e-129
"(7198748, 7198749)",-2373.9051950537782,1.3435664584572247e-129
"(7198749, 7198750)",-2374.9051950537782,1.1856932380050554e-129
"(7198750, 7198751)",-2375.9051950537782,1.046370609954961e-129
"(7198751, 7198752)",-2376.9051950537782,9.234188222408066e-130
"(7198752, 7198753)",-2377.9051950537782,8.14914250415827e-130
"(7198753, 7198754)",-2378.9051950537782,7.191593018640148e-130
"(7198754, 7198755)",-2379.9051950537782,6.34655856359893e-130
"(7198755, 7198756)",-2380.9051950537782,5.600818274447795e-130
"(7198756, 7198757)",-2381.9051950537782,4.942704779139377e-130
"(7198757, 7198758)",-2382.9051950537782,4.361921657980577e-130
"(7198758, 7198759)",-2383.9051950537782,3.849382352484522e-130
"(7198759, 7198760)",-2384.9051950537782,3.397068002931394e-130
"(7198760, 7198761)",-2385.9051950537782,2.9979019904561924e-130
"(7198761, 7198762)",-2386.9051950537782,2.6456392208297834e-130
"(7198762, 7223566)",-2387.9051950537782,2.334768417738606e-130
"(7243955, 7243956)",-2388.9051950537782,2.0604258969066563e-130
"(7243956, 7243957)",-2389.9051950537782,1.8183194720252113e-130
"(7243957, 7243958)",-2390.9051950537782,1.604661301971506e-130
"(7243958, 7243959)",-2391.9051950537782,1.416108628687218e-130
"(7243959, 7243960)",-2392.9051950537782,1.249711478539789e-130
"(7243960, 7243961)",-2393.9051950537782,1.1028665089357786e-130
"(7243961, 7243962)",-2394.9051950537782,9.732762781001107e-131
"(7243962, 7243963)",-2395.9051950537782,8.58913300782411e-131
"(7243963, 7268777)",-2396.9051950537782,7.579883275291886e-131
"(7289166, 7289167)",-2397.9051950537782,6.689223512397868e-131
"(7289167, 7289168)",-2398.9051950537782,5.903219030387166e-131
"(7289168, 7289169)",-2399.9051950537782,5.209572509595112e-131
"(7289169, 7289170)",-2400.9051950537782,4.597431603507545e-131
"(7289170, 7289171)",-2401.9051950537782,4.0572191499399377e-131
"(7289171, 7289172)",-2402.9051950537782,3.5804833329289e-131
"(7289172, 7289173)",-2403.9051950537782,3.159765451065523e-131
"(7289173, 7289174)",-2404.9051950537782,2.788483223459141e-131
"(7289174, 7289175)",-2405.9051950537782,2.4608278076118e-131
"(7289175, 7313988)",-2406.9051950537782,2.1716729180114545e-131
"(7334377, 7334378)",-2407.9051950537782,1.9164946235719585e-131
"(7334378, 7334379)",-2408.9051950537782,1.6913005691222836e-131
"(7334379, 7334380)",-2409.9051950537782,1.4925675135899787e-131
"(7334380, 7334381)",-2410.9051950537782,1.317186207641547e-131
"(7334381, 7334382)",-2411.9051950537782,1.162412748370815e-131
"(7334382, 7334383)",-2412.9051950537782,1.025825649962091e-131
"(7334383, 7334384)",-2413.9051950537782,9.052879586833747e-132
"(7334384, 7334385)",-2414.9051950537782,7.989138194852094e-132
"(7334385, 7334386)",-2415.9051950537782,7.050389711277258e-132
"(7334386, 7334387)",-2416.9051950537782,6.22194708221648e-132
"(7334387, 7334388)",-2417.9051950537782,5.490849028101305e-132
"(7334388, 7334389)",-2418.9051950537782,4.8456572598590374e-132
"(7334389, 7334390)",-2419.9051950537782,4.2762775228121587e-132
"(7334390, 7334391)",-2420.9051950537782,3.7738016684738564e-132
"(7334391, 7334392)",-2421.9051950537782,3.330368283396756e-132
"(7334392, 7359199)",-2422.9051950537782,2.9390396945636135e-132
"(7379588, 7379589)",-2423.9051950537782,2.5936934270255642e-132
"(7379589, 7379590)",-2424.9051950537782,2.288926415604085e-132
"(7379590, 7379591)",-2425.9051950537782,2.0199704720146652e-132
"(7379591, 7379592)",-2426.9051950537782,1.7826176848652852e-132
"(7379592, 7379593)",-2427.9051950537782,1.5731545853861367e-132
"(7379593, 7379594)",-2428.9051950537782,1.388304048890019e-132
"(7379594, 7379595)",-2429.9051950537782,1.2251740229910943e-132
"(7379595, 7379596)",-2430.9051950537782,1.0812122804167488e-132
"(7379596, 7379597)",-2431.9051950537782,9.541664885042076e-133
"(7379597, 7379598)",-2432.9051950537782,8.420489706549833e-133
"(7379598, 7379599)",-2433.9051950537782,7.431056084275696e-133
"(7379599, 7379600)",-2434.9051950537782,6.557883977305714e-133
"(7379600, 7379601)",-2435.9051950537782,5.78731229748144e-133
"(7379601, 7404410)",-2436.9051950537782,5.1072851768171095e-133
"(7424799, 7424800)",-2437.9051950537782,4.507163349157316e-133
"(7424800, 7424801)",-2438.9051950537782,3.977557695074143e-133
"(7424801, 7424802)",-2439.9051950537782,3.510182345754454e-133
"(7424802, 7424803)",-2440.9051950537782,3.0977250476354346e-133
"(7424803, 7424804)",-2441.9051950537782,2.7337327595969894e-133
"(7424804, 7424805)",-2442.9051950537782,2.4125106928383815e-133
"(7424805, 7424806)",-2443.9051950537782,2.129033213882088e-133
"(7424806, 7424807)",-2444.9051950537782,1.878865216750669e-133
"(7424807, 7424808)",-2445.9051950537782,1.6580927341563998e-133
"(7424808, 7424809)",-2446.9051950537782,1.4632617020910458e-133
"(7424809, 7424810)",-2447.9051950537782,1.291323919766011e-133
"(7424810, 7424811)",-2448.9051950537782,1.1395893594269033e-133
"(7424811, 7424812)",-2449.9051950537782,1.0056840799126053e-133
"(7424812, 7424813)",-2450.9051950537782,8.87513085501513e-134
"(7424813, 7424814)",-2451.9051950537782,7.832275489583824e-134
"(7424814, 7424815)",-2452.9051950537782,6.911958859746969e-134
"(7424815, 7449621)",-2453.9051950537782,6.099782284518852e-134
"(7470010, 7470011)",-2454.9051950537782,5.383038972528274e-134
